Date,Price,Open,High,Low,Vol,Change,left,right,Volume
"Jul 15, 2012",7.6,7.5,7.7,7.4,26.98K,1.06%,26.98,K,26980
"Jul 14, 2012",7.5,7.7,7.7,7.5,16.01K,-1.69%,16.01,K,16010
"Jul 13, 2012",7.7,7.8,7.8,7.4,65.47K,-1.16%,65.47,K,65470
"Jul 12, 2012",7.8,7.2,7.9,7.1,64.62K,8.53%,64.62,K,64620
"Jul 11, 2012",7.2,7.2,7.3,7,41.89K,0.00%,41.89,K,41890
"Jul 10, 2012",7.2,7,7.3,7,70.07K,2.56%,70.07,K,70070
"Jul 09, 2012",7,6.8,7.1,6.7,61.64K,3.24%,61.64,K,61640
"Jul 08, 2012",6.8,6.8,6.9,6.7,18.22K,0.00%,18.22,K,18220
"Jul 07, 2012",6.8,6.7,6.9,6.6,37.99K,1.65%,37.99,K,37990
"Jul 06, 2012",6.7,6.7,6.7,6.6,43.19K,0.00%,43.19,K,43190
"Jul 05, 2012",6.7,6.5,6.8,6.5,45.35K,2.46%,45.35,K,45350
"Jul 04, 2012",6.5,6.4,6.6,6.4,33.48K,0.93%,33.48,K,33480
"Jul 03, 2012",6.4,6.8,6.8,6.4,71.07K,-4.59%,71.07,K,71070
"Jul 02, 2012",6.8,6.6,6.8,6.6,32.36K,1.96%,32.36,K,32360
"Jul 01, 2012",6.6,6.7,6.7,6.5,20.58K,-0.90%,20.58,K,20580
"Jun 30, 2012",6.7,6.7,6.7,6.6,20.59K,0.00%,20.59,K,20590
"Jun 29, 2012",6.7,6.6,6.7,6.5,26.30K,0.00%,26.3,K,26300
"Jun 28, 2012",6.6,6.7,6.7,6.5,42.82K,0.00%,42.82,K,42820
"Jun 27, 2012",6.7,6.4,6.7,6.4,41.98K,3.58%,41.98,K,41980
"Jun 26, 2012",6.4,6.3,6.5,6.3,48.74K,1.90%,48.74,K,48740
"Jun 25, 2012",6.3,6.3,6.4,6.2,62.64K,0.00%,62.64,K,62640
"Jun 24, 2012",6.3,6.4,6.5,6.3,33.95K,-1.24%,33.95,K,33950
"Jun 23, 2012",6.4,6.6,6.7,6.4,20.12K,-1.83%,20.12,K,20120
"Jun 22, 2012",6.6,6.7,6.8,6.4,56.82K,-1.95%,56.82,K,56820
"Jun 21, 2012",6.7,6.7,6.8,6.6,51.94K,0.00%,51.94,K,51940
"Jun 20, 2012",6.7,6.5,6.7,6.4,64.07K,2.62%,64.07,K,64070
"Jun 19, 2012",6.5,6.3,6.5,6.3,43.88K,3.01%,43.88,K,43880
"Jun 18, 2012",6.3,6.2,6.4,6,46.83K,2.44%,46.83,K,46830
"Jun 17, 2012",6.2,6.4,6.5,6.1,48.80K,-3.75%,48.8,K,48800
"Jun 16, 2012",6.4,6.5,6.6,6.3,78.20K,-1.54%,78.2,K,78200
"Jun 15, 2012",6.5,5.9,6.6,5.9,65.64K,9.24%,65.64,K,65640
"Jun 14, 2012",5.9,5.9,6,5.8,35.04K,0.00%,35.04,K,35040
"Jun 13, 2012",5.9,5.7,6,5.7,57.24K,4.04%,57.24,K,57240
"Jun 12, 2012",5.7,5.6,5.8,5.5,78.98K,2.33%,78.98,K,78980
"Jun 11, 2012",5.6,5.5,5.6,5.4,40.26K,1.83%,40.26,K,40260
"Jun 10, 2012",5.5,5.6,5.6,5.4,24.40K,-1.62%,24.4,K,24400
"Jun 09, 2012",5.6,5.6,5.7,5.5,37.12K,-1.24%,37.12,K,37120
"Jun 08, 2012",5.6,5.6,5.7,5.6,53.84K,0.00%,53.84,K,53840
"Jun 07, 2012",5.6,5.5,5.6,5.4,48.07K,2.38%,48.07,K,48070
"Jun 06, 2012",5.5,5.4,5.5,5.4,40.68K,0.00%,40.68,K,40680
"Jun 05, 2012",5.4,5.3,5.5,5.2,83.93K,3.23%,83.93,K,83930
"Jun 04, 2012",5.3,5.2,5.3,5.2,51.24K,1.15%,51.24,K,51240
"Jun 03, 2012",5.2,5.3,5.3,5.2,12.68K,0.00%,12.68,K,12680
"Jun 02, 2012",5.3,5.3,5.3,5.2,15.17K,0.00%,15.17,K,15170
"Jun 01, 2012",5.3,5.2,5.3,5.2,44.69K,1.74%,44.69,K,44690
"May 31, 2012",5.2,5.1,5.2,5.1,39.48K,0.00%,39.48,K,39480
"May 30, 2012",5.1,5.2,5.2,5.1,39.94K,0.00%,39.94,K,39940
"May 29, 2012",5.2,5.1,5.2,5,61.27K,0.00%,61.27,K,61270
"May 28, 2012",5.1,5.1,5.2,5.1,27.56K,0.00%,27.56,K,27560
"May 27, 2012",5.1,5.1,5.2,5.1,15.75K,0.00%,15.75,K,15750
"May 26, 2012",5.1,5.2,5.2,5.1,16.59K,-0.97%,16.59,K,16590
"May 25, 2012",5.2,5.1,5.2,5.1,23.08K,0.00%,23.08,K,23080
"May 24, 2012",5.1,5.1,5.2,5.1,28.92K,0.00%,28.92,K,28920
"May 23, 2012",5.1,5.1,5.2,5.1,52.96K,0.00%,52.96,K,52960
"May 22, 2012",5.1,5.1,5.1,5.1,46.68K,0.00%,46.68,K,46680
"May 21, 2012",5.1,5.1,5.1,5.1,33.62K,0.00%,33.62,K,33620
"May 20, 2012",5.1,5.1,5.2,5.1,18.69K,0.00%,18.69,K,18690
"May 19, 2012",5.1,5.1,5.1,5.1,23.16K,0.00%,23.16,K,23160
"May 18, 2012",5.1,5.1,5.1,5.1,52.58K,0.00%,52.58,K,52580
"May 17, 2012",5.1,5.1,5.1,5.1,26.62K,0.00%,26.62,K,26620
"May 16, 2012",5.1,5,5.1,5,69.37K,0.99%,69.37,K,69370
"May 15, 2012",5,5,5,4.9,44.14K,0.00%,44.14,K,44140
"May 14, 2012",5,4.9,5,4.9,52.85K,1.62%,52.85,K,52850
"May 13, 2012",4.9,4.9,5,4.9,14.05K,0.00%,14.05,K,14050
"May 12, 2012",4.9,5,5,4.9,20.88K,0.00%,20.88,K,20880
"May 11, 2012",5,4.8,5,4.8,63.13K,2.27%,63.13,K,63130
"May 10, 2012",4.8,5,5.1,4.8,69.98K,-3.77%,69.98,K,69980
"May 09, 2012",5,5.1,5.1,5,38.92K,0.00%,38.92,K,38920
"May 08, 2012",5.1,5.1,5.1,5,68.20K,0.00%,68.2,K,68200
"May 07, 2012",5.1,5.1,5.1,5,46.18K,0.00%,46.18,K,46180
"May 06, 2012",5.1,5.1,5.1,5,19.30K,0.00%,19.3,K,19300
"May 05, 2012",5.1,5.1,5.1,5,18.84K,0.00%,18.84,K,18840
"May 04, 2012",5.1,5.1,5.2,5.1,43.63K,-1.17%,43.63,K,43630
"May 03, 2012",5.1,5.1,5.2,5,35.42K,1.18%,35.42,K,35420
"May 02, 2012",5.1,5,5.2,5,95.96K,1.40%,95.96,K,95960
"May 01, 2012",5,4.9,5,4.9,36.68K,1.01%,36.68,K,36680
"Apr 30, 2012",4.9,4.9,5,4.9,55.77K,0.00%,55.77,K,55770
"Apr 29, 2012",4.9,5,5,4.9,22.23K,-1.61%,22.23,K,22230
"Apr 28, 2012",5,5.1,5.1,4.8,91.59K,-2.54%,91.59,K,91590
"Apr 27, 2012",5.1,5.1,5.1,5,25.87K,0.00%,25.87,K,25870
"Apr 26, 2012",5.1,5.1,5.2,5,57.36K,0.00%,57.36,K,57360
"Apr 25, 2012",5.1,5.1,5.2,5,35.64K,0.00%,35.64,K,35640
"Apr 24, 2012",5.1,5,5.2,4.9,70.99K,2.82%,70.99,K,70990
"Apr 23, 2012",5,5.2,5.2,5,49.37K,-4.62%,49.37,K,49370
"Apr 22, 2012",5.2,5.3,5.3,5.1,37.11K,-1.14%,37.11,K,37110
"Apr 21, 2012",5.3,5.3,5.5,5.1,60.92K,-1.68%,60.92,K,60920
"Apr 20, 2012",5.3,5.1,5.5,5.1,104.07K,4.09%,104.07,K,104070
"Apr 19, 2012",5.1,5.1,5.2,5.1,46.68K,0.00%,46.68,K,46680
"Apr 18, 2012",5.1,5,5.2,5,79.13K,2.81%,79.13,K,79130
"Apr 17, 2012",5,4.9,5,4.9,30.65K,1.01%,30.65,K,30650
"Apr 16, 2012",4.9,5,5,4.9,31.16K,0.00%,31.16,K,31160
"Apr 15, 2012",5,5,5,4.9,33.34K,0.00%,33.34,K,33340
"Apr 14, 2012",5,4.9,5,4.9,63.89K,0.00%,63.89,K,63890
"Apr 13, 2012",4.9,4.9,4.9,4.7,93.11K,0.00%,93.11,K,93110
"Apr 12, 2012",4.9,4.9,4.9,4.8,46.37K,0.00%,46.37,K,46370
"Apr 11, 2012",4.9,4.8,5,4.8,67.04K,1.86%,67.04,K,67040
"Apr 10, 2012",4.8,4.9,4.9,4.8,53.10K,0.00%,53.1,K,53100
"Apr 09, 2012",4.9,4.8,4.9,4.7,39.24K,1.67%,39.24,K,39240
"Apr 08, 2012",4.8,4.7,4.8,4.6,41.97K,2.13%,41.97,K,41970
"Apr 07, 2012",4.7,4.9,4.9,4.7,80.95K,-5.25%,80.95,K,80950
"Apr 06, 2012",4.9,4.9,5,4.9,58.21K,0.00%,58.21,K,58210
"Apr 05, 2012",4.9,4.9,4.9,4.9,33.81K,0.00%,33.81,K,33810
"Apr 04, 2012",4.9,4.9,5,4.9,51.04K,0.00%,51.04,K,51040
"Apr 03, 2012",4.9,5,5,4.8,78.48K,0.00%,78.48,K,78480
"Apr 02, 2012",5,4.8,5.1,4.8,80.66K,2.90%,80.66,K,80660
"Apr 01, 2012",4.8,4.9,4.9,4.7,35.95K,-1.63%,35.95,K,35950
"Mar 31, 2012",4.9,4.9,4.9,4.8,35.53K,0.00%,35.53,K,35530
"Mar 30, 2012",4.9,4.8,4.9,4.7,39.07K,1.04%,39.07,K,39070
"Mar 29, 2012",4.8,4.8,4.9,4.7,37.98K,0.00%,37.98,K,37980
"Mar 28, 2012",4.8,4.8,4.8,4.7,38.02K,0.00%,38.02,K,38020
"Mar 27, 2012",4.8,4.6,4.8,4.5,73.43K,4.11%,73.43,K,73430
"Mar 26, 2012",4.6,4.6,4.7,4.5,69.84K,1.54%,69.84,K,69840
"Mar 25, 2012",4.6,4.7,4.7,4.3,71.56K,-2.78%,71.56,K,71560
"Mar 24, 2012",4.7,4.7,4.7,4.6,39.07K,0.00%,39.07,K,39070
"Mar 23, 2012",4.7,4.7,4.8,4.6,54.13K,0.00%,54.13,K,54130
"Mar 22, 2012",4.7,4.8,4.9,4.6,58.07K,-2.29%,58.07,K,58070
"Mar 21, 2012",4.8,4.8,4.9,4.8,46.44K,0.00%,46.44,K,46440
"Mar 20, 2012",4.8,4.7,4.9,4.6,66.34K,3.20%,66.34,K,66340
"Mar 19, 2012",4.7,5.3,5.3,4.5,188.89K,-11.17%,188.89,K,188890
"Mar 18, 2012",5.3,5.2,5.3,5.2,22.86K,1.15%,22.86,K,22860
"Mar 17, 2012",5.2,5.3,5.4,5.2,39.10K,-2.25%,39.1,K,39100
"Mar 16, 2012",5.3,5.3,5.4,5.3,32.72K,0.00%,32.72,K,32720
"Mar 15, 2012",5.3,5.4,5.4,5.3,41.08K,-0.93%,41.08,K,41080
