Date,president_name,president_code
"Jul 22, 2018",Donald Trump,1
"Jul 21, 2018",Donald Trump,1
"Jul 20, 2018",Donald Trump,1
"Jul 19, 2018",Donald Trump,1
"Jul 18, 2018",Donald Trump,1
"Jul 17, 2018",Donald Trump,1
"Jul 16, 2018",Donald Trump,1
"Jul 15, 2018",Donald Trump,1
"Jul 14, 2018",Donald Trump,1
"Jul 13, 2018",Donald Trump,1
"Jul 12, 2018",Donald Trump,1
"Jul 11, 2018",Donald Trump,1
"Jul 10, 2018",Donald Trump,1
"Jul 09, 2018",Donald Trump,1
"Jul 08, 2018",Donald Trump,1
"Jul 07, 2018",Donald Trump,1
"Jul 06, 2018",Donald Trump,1
"Jul 05, 2018",Donald Trump,1
"Jul 04, 2018",Donald Trump,1
"Jul 03, 2018",Donald Trump,1
"Jul 02, 2018",Donald Trump,1
"Jul 01, 2018",Donald Trump,1
"Jun 30, 2018",Donald Trump,1
"Jun 29, 2018",Donald Trump,1
"Jun 28, 2018",Donald Trump,1
"Jun 27, 2018",Donald Trump,1
"Jun 26, 2018",Donald Trump,1
"Jun 25, 2018",Donald Trump,1
"Jun 24, 2018",Donald Trump,1
"Jun 23, 2018",Donald Trump,1
"Jun 22, 2018",Donald Trump,1
"Jun 21, 2018",Donald Trump,1
"Jun 20, 2018",Donald Trump,1
"Jun 19, 2018",Donald Trump,1
"Jun 18, 2018",Donald Trump,1
"Jun 17, 2018",Donald Trump,1
"Jun 16, 2018",Donald Trump,1
"Jun 15, 2018",Donald Trump,1
"Jun 14, 2018",Donald Trump,1
"Jun 13, 2018",Donald Trump,1
"Jun 12, 2018",Donald Trump,1
"Jun 11, 2018",Donald Trump,1
"Jun 10, 2018",Donald Trump,1
"Jun 09, 2018",Donald Trump,1
"Jun 08, 2018",Donald Trump,1
"Jun 07, 2018",Donald Trump,1
"Jun 06, 2018",Donald Trump,1
"Jun 05, 2018",Donald Trump,1
"Jun 04, 2018",Donald Trump,1
"Jun 03, 2018",Donald Trump,1
"Jun 02, 2018",Donald Trump,1
