Height,Sum,Time
51426,['50'],2010-04-17 13:06:20
51426,['50'],2010-04-17 13:06:20
51426,['50'],2010-04-17 13:06:20
51427,['50'],2010-04-17 13:06:25
51427,['50'],2010-04-17 13:06:25
51494,['50'],2010-04-17 21:49:49
51494,['50'],2010-04-17 21:49:49
51536,['107'],2010-04-18 01:17:05
51536,['1060'],2010-04-18 01:17:05
51538,['50'],2010-04-18 01:31:45
51538,['50'],2010-04-18 01:31:45
51580,['100'],2010-04-18 04:52:12
51580,['50'],2010-04-18 04:52:12
51622,['37'],2010-04-18 08:00:26
51622,['36'],2010-04-18 08:00:26
51622,['35'],2010-04-18 08:00:26
51628,['1'],2010-04-18 08:37:50
51628,['2'],2010-04-18 08:37:50
51628,['33'],2010-04-18 08:37:50
51628,['1'],2010-04-18 08:37:50
51628,['52'],2010-04-18 08:37:50
51628,['32'],2010-04-18 08:37:50
51633,['50'],2010-04-18 08:54:56
51633,['45'],2010-04-18 08:54:56
51635,['50'],2010-04-18 09:08:38
51635,['50'],2010-04-18 09:08:38
51646,['50'],2010-04-18 10:20:38
51646,['47'],2010-04-18 10:20:38
51646,['40'],2010-04-18 10:20:38
51647,['50'],2010-04-18 10:25:51
51647,['30'],2010-04-18 10:25:51
51647,['24'],2010-04-18 10:25:51
51650,['24'],2010-04-18 10:39:53
51650,['100'],2010-04-18 10:39:53
51650,['24'],2010-04-18 10:39:53
51653,['87'],2010-04-18 10:49:43
51653,['13'],2010-04-18 10:49:43
51653,['15'],2010-04-18 10:49:43
51653,['14'],2010-04-18 10:49:43
51660,['42.75'],2010-04-18 11:23:00
51660,['49'],2010-04-18 11:23:00
51663,['1000'],2010-04-18 11:52:45
51663,['2000.41'],2010-04-18 11:52:45
51672,['11'],2010-04-18 12:53:51
51672,['157'],2010-04-18 12:53:51
51728,['12'],2010-04-18 17:57:26
51728,['0.26'],2010-04-18 17:57:26
51728,['40'],2010-04-18 17:57:26
51728,['0.9'],2010-04-18 17:57:26
51728,['0.89'],2010-04-18 17:57:26
51728,['0.25'],2010-04-18 17:57:26
51728,['3'],2010-04-18 17:57:26
51728,['0.88'],2010-04-18 17:57:26
51728,['2.99'],2010-04-18 17:57:26
51728,['0.24'],2010-04-18 17:57:26
51728,['0.87'],2010-04-18 17:57:26
51728,['0.86'],2010-04-18 17:57:26
51728,['0.23'],2010-04-18 17:57:26
51728,['0.22'],2010-04-18 17:57:26
51728,['2.98'],2010-04-18 17:57:26
51728,['0.85'],2010-04-18 17:57:26
51728,['0.84'],2010-04-18 17:57:26
51728,['2.97'],2010-04-18 17:57:26
51728,['0.83'],2010-04-18 17:57:26
51728,['0.82'],2010-04-18 17:57:26
51728,['0.21'],2010-04-18 17:57:26
51728,['2.96'],2010-04-18 17:57:26
51728,['0.81'],2010-04-18 17:57:26
51728,['0.8'],2010-04-18 17:57:26
51728,['2.95'],2010-04-18 17:57:26
51728,['2.94'],2010-04-18 17:57:26
51728,['0.2'],2010-04-18 17:57:26
51728,['0.79'],2010-04-18 17:57:26
51728,['2.93'],2010-04-18 17:57:26
51728,['2.92'],2010-04-18 17:57:26
51728,['2.91'],2010-04-18 17:57:26
51728,['0.19'],2010-04-18 17:57:26
51728,['0.78'],2010-04-18 17:57:26
51728,['0.18'],2010-04-18 17:57:26
51728,['0.17'],2010-04-18 17:57:26
51728,['2.9'],2010-04-18 17:57:26
51728,['0.77'],2010-04-18 17:57:26
51728,['2.89'],2010-04-18 17:57:26
51728,['2.88'],2010-04-18 17:57:26
51728,['0.76'],2010-04-18 17:57:26
51728,['0.16'],2010-04-18 17:57:26
51728,['0.15'],2010-04-18 17:57:26
51728,['0.75'],2010-04-18 17:57:26
51728,['2.87'],2010-04-18 17:57:26
51728,['0.14'],2010-04-18 17:57:26
51728,['0.74'],2010-04-18 17:57:26
51728,['0.13'],2010-04-18 17:57:26
51728,['0.12'],2010-04-18 17:57:26
51728,['0.73'],2010-04-18 17:57:26
51728,['2.86'],2010-04-18 17:57:26
51728,['0.72'],2010-04-18 17:57:26
51728,['0.11'],2010-04-18 17:57:26
51728,['2.85'],2010-04-18 17:57:26
51728,['2.84'],2010-04-18 17:57:26
51728,['0.1'],2010-04-18 17:57:26
51728,['0.71'],2010-04-18 17:57:26
51728,['0.7'],2010-04-18 17:57:26
51728,['2.83'],2010-04-18 17:57:26
51728,['0.09'],2010-04-18 17:57:26
51728,['0.08'],2010-04-18 17:57:26
51728,['2.82'],2010-04-18 17:57:26
51728,['2.81'],2010-04-18 17:57:26
51728,['0.69'],2010-04-18 17:57:26
51728,['0.07'],2010-04-18 17:57:26
51728,['0.06'],2010-04-18 17:57:26
51728,['0.68'],2010-04-18 17:57:26
51728,['0.05'],2010-04-18 17:57:26
51728,['0.04'],2010-04-18 17:57:26
51728,['2.8'],2010-04-18 17:57:26
51728,['0.67'],2010-04-18 17:57:26
51728,['2.79'],2010-04-18 17:57:26
51728,['0.66'],2010-04-18 17:57:26
51728,['0.03'],2010-04-18 17:57:26
51728,['2.78'],2010-04-18 17:57:26
51728,['0.65'],2010-04-18 17:57:26
51728,['0.64'],2010-04-18 17:57:26
51728,['0.63'],2010-04-18 17:57:26
51728,['0.62'],2010-04-18 17:57:26
51728,['2.77'],2010-04-18 17:57:26
51728,['0.02'],2010-04-18 17:57:26
51728,['0.61'],2010-04-18 17:57:26
51728,['0.01'],2010-04-18 17:57:26
51728,['2.76'],2010-04-18 17:57:26
51728,['0.6'],2010-04-18 17:57:26
51728,['2.75'],2010-04-18 17:57:26
51728,['0.59'],2010-04-18 17:57:26
51728,['2.74'],2010-04-18 17:57:26
51728,['2.73'],2010-04-18 17:57:26
51728,['0.58'],2010-04-18 17:57:26
51728,['2.72'],2010-04-18 17:57:26
51728,['0.57'],2010-04-18 17:57:26
51728,['2.71'],2010-04-18 17:57:26
51728,['0.56'],2010-04-18 17:57:26
51728,['0.55'],2010-04-18 17:57:26
51728,['2.7'],2010-04-18 17:57:26
51728,['2.69'],2010-04-18 17:57:26
51728,['2.68'],2010-04-18 17:57:26
51728,['2.67'],2010-04-18 17:57:26
51728,['0.54'],2010-04-18 17:57:26
51728,['2.66'],2010-04-18 17:57:26
51728,['0.53'],2010-04-18 17:57:26
51728,['2.65'],2010-04-18 17:57:26
51728,['0.52'],2010-04-18 17:57:26
51728,['2.64'],2010-04-18 17:57:26
51728,['0.51'],2010-04-18 17:57:26
51728,['0.5'],2010-04-18 17:57:26
51728,['2.63'],2010-04-18 17:57:26
51728,['2.62'],2010-04-18 17:57:26
51728,['0.49'],2010-04-18 17:57:26
51728,['2.61'],2010-04-18 17:57:26
51728,['0.48'],2010-04-18 17:57:26
51728,['2.6'],2010-04-18 17:57:26
51728,['0.47'],2010-04-18 17:57:26
51728,['0.46'],2010-04-18 17:57:26
51728,['2.59'],2010-04-18 17:57:26
51728,['2.58'],2010-04-18 17:57:26
51728,['0.45'],2010-04-18 17:57:26
51728,['2.57'],2010-04-18 17:57:26
51728,['0.44'],2010-04-18 17:57:26
51728,['0.43'],2010-04-18 17:57:26
51728,['2.56'],2010-04-18 17:57:26
51728,['0.42'],2010-04-18 17:57:26
51728,['2.55'],2010-04-18 17:57:26
51728,['0.41'],2010-04-18 17:57:26
51728,['0.4'],2010-04-18 17:57:26
51728,['2.54'],2010-04-18 17:57:26
51728,['2.53'],2010-04-18 17:57:26
51728,['0.39'],2010-04-18 17:57:26
51728,['0.38'],2010-04-18 17:57:26
51728,['0.37'],2010-04-18 17:57:26
51728,['2.52'],2010-04-18 17:57:26
51728,['0.36'],2010-04-18 17:57:26
51728,['2.51'],2010-04-18 17:57:26
51728,['2.5'],2010-04-18 17:57:26
51728,['0.35'],2010-04-18 17:57:26
